model_file,model_consts,states,transitions
"brp.pm","N=16, MAX=2",677,867
"brp.pm","N=16, MAX=3",886,1155
"brp.pm","N=16, MAX=4",1095,1443
"brp.pm","N=16, MAX=5",1304,1731
"brp.pm","N=32, MAX=2",1349,1731
"brp.pm","N=32, MAX=3",1766,2307
"brp.pm","N=32, MAX=4",2183,2883
"brp.pm","N=32, MAX=5",2600,3459
"brp.pm","N=64, MAX=2",2693,3459
"brp.pm","N=64, MAX=3",3526,4611
"brp.pm","N=64, MAX=4",4359,5763
"brp.pm","N=64, MAX=5",5192,6915
"crowds.pm","TotalRuns=3, CrowdSize=5",1198,2038
"crowds.pm","TotalRuns=3, CrowdSize=10",6563,15143
"crowds.pm","TotalRuns=3, CrowdSize=15",19228,55948
"crowds.pm","TotalRuns=3, CrowdSize=20",42318,148578
"crowds.pm","TotalRuns=4, CrowdSize=5",3515,6035
"crowds.pm","TotalRuns=4, CrowdSize=10",30070,70110
"crowds.pm","TotalRuns=5, CrowdSize=5",8653,14953
"crowds.pm","TotalRuns=6, CrowdSize=5",18817,32677
"egl.pm","N=5, L=2",33790,34813
"egl.pm","N=5, L=4",74750,75773
"herman3.pm","",8,28
"herman5.pm","",32,244
"herman7.pm","",128,2188
"herman9.pm","",512,19684
"herman11.pm","",2048,177148
"herman13.pm","",8192,1594324
"herman15.pm","",32768,
"leader_sync3_2.pm","",26,33
"leader_sync3_3.pm","",69,95
"leader_sync3_4.pm","",147,210
"leader_sync4_2.pm","",61,76
"leader_sync4_3.pm","",274,354
"leader_sync4_4.pm","",812,1067
"leader_sync5_2.pm","",141,354
"leader_sync5_3.pm","",1050,1292
"leader_sync5_4.pm","",4244,5267
"leader_sync5_5.pm","",12709,15833
"leader_sync5_6.pm","",31383,39158
"leader_sync6_2.pm","",335,398
"leader_sync6_3.pm","",3759,4487
"leader_sync6_4.pm","",20884,24979
"leader_sync6_5.pm","",78784,94408
"nand.pm","N=20, K=1",78332,0.235,
